id|premissa|conclusao|suporte|confiança
117|penalties_(54.5, 61.0]|international_reputation_(0.996, 1.4]|0.33|0.891891891891892
118|work_rate_att_Medium, body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.33|0.891891891891892
119|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2]|work_rate_def_Medium|0.58|0.892307692307692
120|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], preferred_foot_Right|work_rate_def_Medium|0.5|0.892857142857143
121|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], work_rate_att_Medium|work_rate_def_Medium|0.5|0.892857142857143
122|work_rate_def_Medium, body_type_Normal|international_reputation_(0.996, 1.4]|0.34|0.894736842105263
123|international_reputation_(0.996, 1.4], body_type_Lean|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|0.34|0.894736842105263
124|work_rate_def_Medium, skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.34|0.894736842105263
125|international_reputation_(0.996, 1.4], preferred_foot_Right|work_rate_def_Medium|0.52|0.896551724137931
126|international_reputation_(0.996, 1.4], work_rate_att_Medium|work_rate_def_Medium|0.52|0.896551724137931
127|jumping_(60.5, 66.4]|eur_value_(-62940.0, 12354000.0]|0.35|0.897435897435897
128|eur_value_(-62940.0, 12354000.0]|international_reputation_(0.996, 1.4]|0.8|0.898876404494382
129|work_rate_def_Medium, preferred_foot_Right|eur_value_(-62940.0, 12354000.0]|0.54|0.9
130|work_rate_def_Medium, preferred_foot_Right, work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.36|0.9
131|work_rate_def_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.46|0.901960784313726
132|skill_moves_(2.9, 3.2], work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.46|0.901960784313726
133|work_rate_def_Medium, body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.37|0.902439024390244
134|eur_value_(-62940.0, 12354000.0], preferred_foot_Right, work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.37|0.902439024390244
135|eur_value_(-62940.0, 12354000.0], work_rate_att_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.37|0.902439024390244
136|eur_value_(-62940.0, 12354000.0], work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.56|0.903225806451613
137|work_rate_def_Medium, skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.57|0.904761904761905
138|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.39|0.906976744186046
139|work_rate_def_Medium, skill_moves_(2.9, 3.2], preferred_foot_Right|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.4|0.909090909090909
140|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], preferred_foot_Right|work_rate_def_Medium|0.4|0.909090909090909
141|international_reputation_(0.996, 1.4], skill_moves_(2.9, 3.2], preferred_foot_Right|work_rate_def_Medium|0.41|0.911111111111111
142|work_rate_att_Medium|eur_value_(-62940.0, 12354000.0]|0.62|0.911764705882353
143|skill_moves_(2.9, 3.2], body_type_Normal|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.31|0.911764705882353
144|international_reputation_(0.996, 1.4], preferred_foot_Right, weak_foot_(2.6, 3.0]|work_rate_def_Medium|0.31|0.911764705882353
145|work_rate_def_Medium, work_rate_att_Medium|eur_value_(-62940.0, 12354000.0]|0.52|0.912280701754386
146|work_rate_def_Medium, work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.52|0.912280701754386
147|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.42|0.91304347826087
148|eur_value_(-62940.0, 12354000.0], jumping_(60.5, 66.4]|work_rate_def_Medium|0.32|0.914285714285714
149|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.64|0.914285714285714
150|eur_value_(-62940.0, 12354000.0], jumping_(60.5, 66.4]|international_reputation_(0.996, 1.4]|0.32|0.914285714285714
151|eur_value_(-62940.0, 12354000.0], penalties_(54.5, 61.0]|international_reputation_(0.996, 1.4]|0.32|0.914285714285714
152|skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.43|0.914893617021277
153|work_rate_def_Medium|eur_value_(-62940.0, 12354000.0]|0.76|0.91566265060241
154|skill_moves_(2.9, 3.2], body_type_Lean|eur_value_(-62940.0, 12354000.0]|0.33|0.916666666666667
155|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.44|0.916666666666667
156|eur_value_(-62940.0, 12354000.0], skill_moves_(2.9, 3.2], work_rate_att_Medium|international_reputation_(0.996, 1.4]|0.45|0.918367346938775
157|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, body_type_Lean|international_reputation_(0.996, 1.4]|0.34|0.918918918918919
158|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], body_type_Lean|work_rate_def_Medium|0.34|0.918918918918919
159|work_rate_def_Medium, work_rate_att_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.34|0.918918918918919
160|work_rate_def_Medium, work_rate_att_Medium, weak_foot_(2.6, 3.0]|international_reputation_(0.996, 1.4]|0.34|0.918918918918919
161|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4], preferred_foot_Right, work_rate_att_Medium|work_rate_def_Medium|0.34|0.918918918918919
162|work_rate_def_Medium, skill_moves_(2.9, 3.2]|international_reputation_(0.996, 1.4]|0.58|0.920634920634921
163|work_rate_def_Medium, body_type_Normal|eur_value_(-62940.0, 12354000.0]|0.35|0.921052631578947
164|international_reputation_(0.996, 1.4], body_type_Lean|work_rate_def_Medium|0.35|0.921052631578947
165|work_rate_def_Medium, skill_moves_(2.9, 3.2], weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.35|0.921052631578947
166|jumping_(60.5, 66.4]|work_rate_def_Medium|0.36|0.923076923076923
167|international_reputation_(0.996, 1.4], preferred_foot_Right, work_rate_att_Medium|work_rate_def_Medium|0.36|0.923076923076923
168|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium, preferred_foot_Right|international_reputation_(0.996, 1.4]|0.5|0.925925925925926
169|eur_value_(-62940.0, 12354000.0], body_type_Normal|international_reputation_(0.996, 1.4]|0.39|0.928571428571429
170|work_rate_def_Medium, skill_moves_(2.9, 3.2], work_rate_att_Medium|eur_value_(-62940.0, 12354000.0], international_reputation_(0.996, 1.4]|0.39|0.928571428571429
171|work_rate_att_Medium, weak_foot_(2.6, 3.0]|eur_value_(-62940.0, 12354000.0]|0.41|0.931818181818182
172|work_rate_def_Medium, skill_moves_(2.9, 3.2], preferred_foot_Right|international_reputation_(0.996, 1.4]|0.41|0.931818181818182
173|skill_moves_(2.9, 3.2]|eur_value_(-62940.0, 12354000.0]|0.7|0.933333333333333
174|body_type_Normal|eur_value_(-62940.0, 12354000.0]|0.42|0.933333333333333
175|eur_value_(-62940.0, 12354000.0], work_rate_def_Medium|international_reputation_(0.996, 1.4]|0.71|0.93421052631579
